NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ALOX12-AS1	1	ALOX12-AS1	
WARS1	1	WARS	
SOD1	1	SOD1	
PIKFYVE	1	PIKFYVE	
MIR3681HG	1	MIR3681HG	
CD9	1	CD9	
SSBP1	1	SSBP1	
SUGT1	1	SUGT1	
GLA	1	GLA	
OTUD1	1	OTUD1	
RBMX	1	RBMX	
RAN	1	RAN	
SSBP4	1	SSBP4	
